titulo,numero_ro,numero_norma,jerarquia,origen,tematica,vigencia,fecha_pub,sumario
"Constitución de la República del Ecuador","RO-S N° 449","Constitución 2008","Constitución","Asamblea Nacional Constituyente","Constitucional","Vigente","2008-10-20","Norma suprema del Estado ecuatoriano. Establece derechos y garantías constitucionales, organización del Estado y el modelo de desarrollo basado en el Buen Vivir."
"Ley Orgánica de Simplificación y Progresividad Tributaria","RO-S N° 111","Ley Orgánica s/n","Ley Orgánica","Asamblea Nacional","Tributario","Vigente","2019-12-31","Reformas al Código Tributario y a la Ley de Régimen Tributario Interno. Fija el IVA en 12% y ajusta el impuesto a la renta para personas naturales y jurídicas."
"Código Orgánico Integral Penal (COIP)","RO-S N° 180","Ley Orgánica N° 0","Ley Orgánica","Asamblea Nacional","Penal","Reformada","2014-02-10","Integra y sistematiza la legislación penal. Define infracciones, procedimientos penales, medidas cautelares y el sistema de rehabilitación social."
"Decreto Ejecutivo N° 1182 — Gestión Integral de Residuos Sólidos","RO-S N° 144","Decreto Ejecutivo N° 1182","Decreto Ejecutivo","Presidencia de la República","Ambiental","Vigente","2024-03-18","Obliga a municipios y empresas a implementar separación en la fuente, recolección diferenciada y disposición final de residuos sólidos no peligrosos."
"Ley Orgánica del Servicio Público (LOSEP)","RO-S N° 294","Ley Orgánica N° 0","Ley Orgánica","Asamblea Nacional","Laboral","Reformada","2010-10-06","Regula las relaciones Estado-servidores públicos. Establece jornada de 8 horas, remuneraciones, vacaciones, estabilidad y régimen disciplinario."
"Código del Trabajo","RO-S N° 167","Decreto Supremo N° 2393","Ley Ordinaria","Asamblea Nacional","Laboral","Reformada","1997-12-05","Regula relaciones entre empleadores y trabajadores privados. Fija jornada máxima de 8 horas diarias y 15 días de vacaciones anuales."
"Ley Orgánica de Salud","RO-S N° 423","Ley Orgánica N° 67","Ley Orgánica","Asamblea Nacional","Salud","Reformada","2006-12-22","Garantiza el derecho universal a la salud. Organiza el Sistema Nacional de Salud y regula la promoción, prevención, recuperación y rehabilitación."
"Ley Orgánica de Educación Intercultural (LOEI)","RO-S N° 417","Ley Orgánica N° 0","Ley Orgánica","Asamblea Nacional","Educación","Reformada","2011-03-31","Define principios de la educación ecuatoriana en el marco del Buen Vivir. Regula niveles, modalidades y derechos de docentes y estudiantes."
"Reglamento General a la Ley de Contratación Pública","RO-S N° 588","Decreto Ejecutivo N° 1700","Reglamento","Presidencia de la República","Contratación Pública","Reformada","2009-02-12","Reglamenta la LOSNCP. Establece procedimientos de subasta inversa, licitación, cotización e ínfima cuantía para adquisiciones del Estado."
"Acuerdo Ministerial N° 034 — Calidad Ambiental del Agua","RO-S N° 387","Acuerdo Ministerial N° 034","Acuerdo Ministerial","Ministerio del Ambiente","Ambiental","Vigente","2015-11-04","Fija límites máximos permisibles para descarga de efluentes industriales y domésticos. Establece criterios de calidad del agua y métodos de monitoreo."
"Código Orgánico de la Producción, Comercio e Inversiones (COPCI)","RO-S N° 351","COPCI","Ley Orgánica","Asamblea Nacional","Comercial","Vigente","2010-12-29","Regula el proceso productivo, comercio exterior e inversiones. Promueve la transformación de la matriz productiva y crea las Zonas Especiales de Desarrollo."
"Ordenanza de Movilidad Sostenible — Distrito Metropolitano de Quito","RM N° 021","Ordenanza N° 021-2024","Ordenanza","GAD Municipal Quito","Transporte","Vigente","2024-01-15","Regula ciclovías, zonas de emisión cero y restricción vehicular en el DMQ. Establece multas de 1 a 3 SBU para vehículos que excedan límites de emisión."
